0,1,2,3,4,5
Date,Div,MAU(0000),Active Penetration%,Average frequency,Average time spent(min)
2017-01-01,商务办公,32667.49,0.3189,62.12,295.94
2017-02-01,商务办公,31858.78,0.3091,55.06,252.91
2017-03-01,商务办公,33568.32,0.3232,61.89,268.99
2017-04-01,商务办公,32409.02,0.31,60.25,261.67
2017-05-01,商务办公,32075.66,0.30510000000000004,61.09,250.02
2017-06-01,商务办公,33006.48,0.3123,59.71,200.21
2017-07-01,商务办公,33538.32,0.316,57.78,177.33
2017-08-01,商务办公,33235.92,0.3114,58.63,168.39
2017-09-01,商务办公,34242.51,0.3191,56.91,155.35
2017-10-01,商务办公,34311.98,0.3185,57.12,167.41
2017-11-01,商务办公,36911.24,0.3422,56.57,170.04
2017-12-01,商务办公,38423.34,0.3543,57.87,169.87
2018-01-01,商务办公,39107.32,0.3594,57.81,169.93
2018-02-01,商务办公,37309.35,0.342,50.2,167.18
2018-03-01,商务办公,41649.05,0.3803,58.47,175.39
2018-04-01,商务办公,40392.76,0.3667,57.21,168.41
2018-05-01,商务办公,41758.83,0.3778,59.71,168.24
2018-06-01,商务办公,41500.24,0.3753,59.17,165.9
2018-07-01,商务办公,40277.63,0.3627,59.33,168.73
2018-08-01,商务办公,40874.23,0.3666,60.22,164.4
2018-09-01,商务办公,42847.66,0.3832,58.1,150.11
2018-10-01,商务办公,43364.37,0.3864,60.56,154.85
2018-11-01,商务办公,44906.21,0.39840000000000003,58.24,147.95
2018-12-01,商务办公,45798.17,0.40509999999999996,62.55,162.36
2019-01-01,商务办公,45435.79,0.40149999999999997,59.54,152.14
2019-02-01,商务办公,43904.96,0.3857,48.98,132.35
2019-03-01,商务办公,48648.45,0.4274,56.75,137.78
2019-04-01,商务办公,48989.47,0.4314,55.87,136.93
2019-05-01,商务办公,50031.2,0.4411,55.53,135.64
2019-06-01,商务办公,49706.86,0.4375,56.36,127.28
2019-07-01,商务办公,48890.12,0.43119999999999997,56.65,126.81
2019-08-01,商务办公,48567.02,0.42829999999999996,57.19,126.12
2019-09-01,商务办公,47175.2,0.4164,64.21,129.38
2019-10-01,商务办公,47123.41,0.4154,68.04,136.31
2019-11-01,商务办公,47481.2,0.41850000000000004,71.1,134.06
2019-12-01,商务办公,47884.4,0.4205,75.7,146.3
2020-01-01,商务办公,46629.21,0.4071,62,124.32
2020-02-01,商务办公,60283.62,0.5244,145.78,336.19
2020-03-01,商务办公,65497.38,0.5668,213.57,548.03
2020-04-01,商务办公,62096.95,0.535,167.8,424.48
2020-05-01,商务办公,60331.54,0.5184000000000001,114.53,248.6
2020-06-01,商务办公,58881.75,0.5103,89.95,175.32
2020-07-01,商务办公,56940.66,0.4939,76.76,141.6
